Price,Make,Model,Year,Mileage (km),Color,Transmission,Fuel Type,Body Type,Condition,City,Governorate,Age,mileage_band
11500000,Land Rover,Range Rover Vogue,2024,40000.0,Black,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,2,20-60K
235000,Speranza,A516,2007,225000.0,Black,Manual,Diesel,Sedan,Used,Dikirnis,Dakahlia,19,200K+
4000000,Nissan,Patrol,2020,100000.0,White,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,6,60-120K
1100000,Hyundai,Creta,2019,83000.0,Gray,Automatic,Diesel,SUV,Used,Cairo,Cairo,7,60-120K
395000,Chevrolet,Lanos,2015,180000.0,Petroleum,Manual,Gas,Sedan,Used,Sharqia,Sharqia,11,120-200K
550000,Chery,Tiggo 7,2026,35000.0,Bronze,Automatic,Diesel,SUV,Used,Sharqia,Sharqia,0,20-60K
4550000,BMW,520,2026,20000.0,Black,Automatic,Gas,Sedan,Used,Heliopolis,Cairo,0,0-20K
500000,Chery,Arrizo 5,2021,360000.0,Silver,Manual,Natural Gas,Sedan,Used,Zagazig,Sharqia,5,200K+
2725000,Audi,Q7,2019,97000.0,Dark blue,Automatic,Gas,SUV,Used,Heliopolis,Cairo,7,60-120K
400000,Nissan,Sunny,2015,200000.0,Red,Automatic,Diesel,Sedan,Used,Pyramids Gardens,Giza,11,120-200K
255000,Daewoo,Nubira,2006,245000.0,Black,Manual,Gas,Sedan,Used,Nasr city,Cairo,20,200K+
4000000,Audi,Q7,2022,20000.0,White,Automatic,Gas,SUV,Used,Shubra,Cairo,4,0-20K
580000,Nissan,Sentra,2017,310000.0,Dark grey,Automatic,Gas,Sedan,Used,Tagamo3 - New Cairo,Cairo,9,200K+
780000,Ssang Yong,Tivoli XLV,2018,205000.0,Black,Automatic,Gas,SUV,Used,Cairo,Cairo,8,200K+
650000,BMW,316,2012,222000.0,Silver,Automatic,Gas,Sedan,Used,Cairo,Cairo,14,200K+
1750000,Kia,Carnival,2019,117000.0,Black,Automatic,Gas,MiniVans,Used,Cairo,Cairo,7,60-120K
6700000,Mercedes,GLE 450,2025,6000.0,Black,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,1,0-20K
150000,Fiat,Siena,2001,277000.0,Silver,Manual,Gas,Sedan,Used,6 October,Giza,25,200K+
750000,Renault,Kadjar,2018,140000.0,Gray,Automatic,Gas,SUV,Used,Cairo,Cairo,8,120-200K
1200000,Hyundai,Tucson GDI,2019,130000.0,Silver,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,7,120-200K
3450000,BMW,X2,2026,10000.0,Gray,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,0,0-20K
290000,Hyundai,Matrix,2007,200000.0,Dark blue,Automatic,Gas,Hatchback,Used,Cairo,Cairo,19,120-200K
3250000,BMW,320i,2026,10000.0,Black,Automatic,Gas,Sedan,Used,Tagamo3 - New Cairo,Cairo,0,0-20K
340000,Geely,Emgrand 7,2016,136000.0,Silver,Manual,Natural Gas,Sedan,Used,Giza,Giza,10,120-200K
135000,Volkswagen,Pointer,2004,0.0,Red,Manual,Diesel,Hatchback,Used,Dikirnis,Dakahlia,22,0-20K
650000,Hyundai,Accent HCI,2020,131999.0,Black,Automatic,Gas,Sedan,Used,Banha,Qalyubia,6,120-200K
6650000,Mercedes,S 500,2021,62000.0,Black,Automatic,Gas,Sedan,Used,Sheikh Zayed City,Giza,5,60-120K
190000,Renault,Clio,2005,258000.0,Purple,Manual,Gas,Sedan,Used,Cairo,Cairo,21,200K+
130000,Skoda,Felicia combi,1994,0.0,Silver,Manual,Gas,Hatchback,Used,Nasr city,Cairo,32,0-20K
1220000,Nissan,Qashqai,2022,140000.0,Gray,Automatic,Gas,Hatchback,Used,Heliopolis,Cairo,4,120-200K
1385000,Chery,Tiggo 8 Pro,2022,129000.0,Blue,Automatic,Gas,SUV,Used,Sohag,Sohag,4,120-200K
820000,Hyundai,Elantra,2017,150000.0,Gray,Automatic,Gas,Sedan,Used,Nasr city,Cairo,9,120-200K
1750000,Skoda,Superb,2021,100000.0,Black,Automatic,Gas,Sedan,Used,Obour City,Cairo,5,60-120K
1800000,Hyundai,Tucson,2022,61000.0,Gray,Automatic,Gas,SUV,Used,Kafr el-Sheikh,Kafr el-Sheikh,4,60-120K
2450000,Volkswagen,Tiguan,2025,33000.0,Silver,Automatic,Diesel,SUV,Used,Cairo,Cairo,1,20-60K
465000,Nissan,Sunny,2014,270000.0,Silver,Automatic,Gas,Sedan,Used,Alexandria Desert,Alexandria,12,200K+
1150000,Citroën,C5 Aircross,2019,102520.0,Gray,Automatic,Gas,SUV,Used,Nasr city,Cairo,7,60-120K
360000,Renault,Logan,2017,115000.0,Dark blue,Manual,Diesel,Sedan,Used,Sohag,Sohag,9,60-120K
4900000,Audi,Q7,2025,9000.0,Gray,Automatic,Gas,SUV,Used,Cairo,Cairo,1,0-20K
2050000,Kia,Sportage,2024,15000.0,Black,Automatic,Gas,SUV,Used,Sheikh Zayed City,Giza,2,0-20K
690000,Hyundai,Elantra MD,2014,196000.0,White,Automatic,Gas,Sedan,Used,Port Said,Port Said,12,120-200K
670000,Peugeot,2008,2016,115000.0,Silver,Automatic,Gas,SUV,Used,Mansoura,Dakahlia,10,60-120K
1850000,Hyundai,Tucson GDI,2024,69000.0,White,Automatic,Gas,SUV,Used,6 October,Giza,2,60-120K
660000,Toyota,Corolla,2012,215000.0,Black,Automatic,Diesel,Sedan,Used,El Bagour,Monufia,14,200K+
320000,Hyundai,Matrix,2003,163000.0,Silver,Manual,Hybrid,Hatchback,Used,Obour City,Cairo,23,120-200K
4150000,Jeep,Grand Cherokee,2024,100000.0,Black,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,2,60-120K
565000,Kia,Rio,2013,181000.0,Dark grey,Automatic,Gas,Sedan,Used,Sheikh Zayed City,Giza,13,120-200K
220000,Renault,Logan,2010,436000.0,Petroleum,Manual,Gas,Sedan,Used,Obour City,Cairo,16,200K+
690000,Chery,Arrizo 5,2025,35000.0,Silver,Automatic,Gas,Sedan,Used,El Haram,Giza,1,20-60K
440000,Honda,Civic,2005,160000.0,Silver,Automatic,Diesel,Sedan,Used,Port Said,Port Said,21,120-200K
635000,Kia,Soul,2012,120000.0,Dark green,Automatic,Gas,Hatchback,Used,Mansoura,Dakahlia,14,60-120K
640000,Renault,Duster,2018,200000.0,Eggplant,Automatic,Gas,SUV,Used,Al Tagamoa El Awal,Cairo,8,120-200K
1080000,BMW,X3,2012,188000.0,Silver,Automatic,Natural Gas,SUV,Used,Cairo,Cairo,14,120-200K
800000,Hyundai,Elantra AD,2018,140000.0,White,Automatic,Gas,Sedan,Used,Alexandria,Alexandria,8,120-200K
530000,Kia,Cerato Koup,2011,183000.0,Silver,Automatic,Gas,Coupe,Used,Tanta,Gharbia,15,120-200K
835000,Toyota,Corolla,2014,150000.0,Black,Automatic,Gas,Sedan,Used,Smouha,Alexandria,12,120-200K
1300000,Hyundai,Elantra CN7,2022,44000.0,Other,Automatic,Gas,Sedan,Used,Banha,Qalyubia,4,20-60K
3250000,BMW,320i,2026,10000.0,Gray,Automatic,Gas,Sedan,Used,Tagamo3 - New Cairo,Cairo,0,0-20K
420000,Hyundai,Avante,2005,160000.0,Black,Automatic,Gas,Sedan,Used,Giza,Giza,21,120-200K
490000,Mazda,3,2013,195000.0,Dark grey,Automatic,Gas,Sedan,Used,Cairo,Cairo,13,120-200K
199999,Chevrolet,Lanos,2009,280000.0,Silver,Manual,Gas,Sedan,Used,Shubra,Cairo,17,200K+
3300000,BMW,X1,2026,10000.0,Black,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,0,0-20K
570000,Opel,Astra,2013,167000.0,Silver,Automatic,Gas,Sedan,Used,Sheikh Zayed City,Giza,13,120-200K
4900000,Mercedes,E 200,2024,2000.0,White,Automatic,Gas,Sedan,Used,Nasr city,Cairo,2,0-20K
200000,Daewoo,Lanos 2,2001,132000.0,Black,Manual,Gas,Sedan,Used,Basioun,Gharbia,25,120-200K
175000,BMW,525,1990,0.0,Other,Automatic,Electric,Sedan,Used,Cairo,Cairo,36,0-20K
330000,Byd,F3,2013,400000.0,White,Manual,Natural Gas,Sedan,Used,Al Matariyyah,Cairo,13,200K+
925000,Chery,Tiggo 7,2024,30000.0,Silver,Automatic,Gas,SUV,Used,Nasr city,Cairo,2,20-60K
3250000,BMW,X1,2026,6000.0,White,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,0,0-20K
390000,Chevrolet,Optra,2008,182500.0,Dark blue,Automatic,Gas,Sedan,Used,Cairo,Cairo,18,120-200K
320000,Chevrolet,Lanos,2012,126000.0,Silver,Automatic,Diesel,Sedan,Used,Cairo,Cairo,14,120-200K
799000,MG,6,2021,186000.0,Gray,Automatic,Diesel,Sedan,Used,Giza,Giza,5,120-200K
830000,Citroën,Grand C4 Spacetourer,2019,120000.0,Black,Automatic,Gas,Hatchback,Used,El Shorouk,Cairo,7,60-120K
1050000,Peugeot,3008,2020,161000.0,Red,Automatic,Gas,SUV,Used,Sheikh Zayed City,Giza,6,120-200K
300000,Daewoo,Lanos 2,2004,148000.0,Blue,Manual,Gas,Sedan,Used,Heliopolis,Cairo,22,120-200K
1970000,Mercedes,CLA 200,2020,100000.0,White,Automatic,Gas,Sedan,Used,Smouha,Alexandria,6,60-120K
1225000,Peugeot,2008,2021,71000.0,Red,Automatic,Gas,SUV,Used,Nasr city,Cairo,5,60-120K
300000,Geely,Emgrand 7,2015,126000.0,Gray,Manual,Gas,Sedan,Used,6 October,Giza,11,120-200K
1231232,Mercedes,C 180,2020,100000.0,Gray,Automatic,Plug-in Hybrid,Sedan,Used,Nasr city,Cairo,6,60-120K
250000,Speranza,A516,2008,258000.0,Dark blue,Automatic,Gas,Sedan,Used,Hadayek October,Giza,18,200K+
570000,Nissan,Sunny,2018,120000.0,Bronze,Automatic,Gas,Sedan,Used,Cairo,Cairo,8,60-120K
570000,Nissan,Sunny,2018,86400.0,Bronze,Automatic,Gas,Sedan,Used,Nasr city,Cairo,8,60-120K
930000,Suzuki,Baleno,2025,16000.0,Silver,Automatic,Gas,Hatchback,Used,Hadayek October,Giza,1,0-20K
1180000,MG,HS,2021,45000.0,Black,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,5,20-60K
1090000,MG,HS,2021,135000.0,White,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,5,120-200K
600000,Mazda,3,2017,264000.0,Petroleum,Automatic,Gas,Sedan,Used,Tagamo3 - New Cairo,Cairo,9,200K+
950000,Nissan,Qashqai,2019,100000.0,Silver,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,7,60-120K
550000,Hyundai,Accent RB,2012,140000.0,Black,Automatic,Gas,Sedan,Used,Cairo,Cairo,14,120-200K
1370000,MG,HS,2025,35000.0,Silver,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,1,20-60K
450000,Daihatsu,SIRION,2009,212000.0,Black,Automatic,Gas,Hatchback,Used,Tagamo3 - New Cairo,Cairo,17,200K+
1190000,Mercedes,GLA 200,2015,110000.0,Silver,Automatic,Gas,Hatchback,Used,El Shorouk,Cairo,11,60-120K
1650000,Mercedes,E 350,2009,115000.0,Black,Automatic,Gas,Sedan,Used,Nasr city,Cairo,17,60-120K
1570000,Hyundai,Tucson GDI,2021,80000.0,Dark red,Automatic,Gas,Hatchback,Used,Nasr city,Cairo,5,60-120K
550000,Jac,J3,2019,290000.0,Blue,Automatic,Gas,Sedan,Used,El Shorouk,Cairo,7,200K+
125000,Hyundai,Excel,1997,0.0,Red,Manual,Gas,Sedan,Used,El Zaytoun,Cairo,29,0-20K
865000,Kia,Cerato,2016,180000.0,Silver,Automatic,Gas,Sedan,Used,El Mahalla El Kubra,Gharbia,10,120-200K
140000,Skoda,Felicia,1997,200000.0,Dark red,Manual,Gas,Hatchback,Used,Alexandria,Alexandria,29,120-200K
1650000,Skoda,Superb,2021,110000.0,Silver,Automatic,Gas,Sedan,Used,Tagamo3 - New Cairo,Cairo,5,60-120K
130000,Skoda,Felicia,1996,0.0,Green,Manual,Gas,Hatchback,Used,Cairo,Cairo,30,0-20K
598000,Renault,Sandero,2020,98000.0,Mocha,Automatic,Diesel,Hatchback,Used,Alexandria,Alexandria,6,60-120K
560000,Kia,Carens,2010,186000.0,Black,Automatic,Gas,MiniVans,Used,Sharqia,Sharqia,16,120-200K
3200000,BMW,IX3,2025,8000.0,Dark blue,Automatic,Electric,Hatchback,Used,Tagamo3 - New Cairo,Cairo,1,0-20K
2600000,Audi,Q3,2025,20000.0,Dark blue,Automatic,Gas,SUV,Used,Heliopolis,Cairo,1,0-20K
270000,Lada,Granta,2019,0.0,Silver,Manual,Natural Gas,Sedan,Used,Cairo,Cairo,7,0-20K
